,sex,age,generation,incomelevel
7979,0,2,2,2
4364,0,2,0,1
2441,1,0,2,2
3722,0,1,2,2
2044,1,3,3,2
9228,0,5,5,2
6332,0,0,2,0
214,1,3,3,2
6914,0,5,1,2
10659,0,0,2,2
9879,0,0,2,0
5268,0,3,4,0
6277,1,3,3,0
51,0,2,0,2
6222,0,5,1,0
8139,1,3,4,0
1756,1,0,2,0
6002,0,2,0,2
12897,0,3,3,0
2683,0,2,0,2
7627,0,3,4,0
2702,0,1,2,2
4605,0,2,0,2
3157,0,0,2,2
8833,1,3,3,0
7768,0,3,4,0
9981,1,0,4,0
5122,0,5,1,0
3721,0,2,2,2
5355,0,1,4,0
1328,0,1,4,0
12019,0,5,1,0
1879,0,4,5,0
6310,0,0,2,0
2667,0,1,0,2
7177,1,3,4,2
9358,0,2,5,2
2896,0,1,2,0
4548,1,3,4,2
6513,0,2,0,0
8033,0,3,2,0
12899,0,0,4,0
6477,0,0,4,0
12653,0,5,5,0
10983,0,3,3,0
7940,0,1,2,2
2260,1,4,5,1
781,1,1,2,2
643,0,4,5,2
4817,0,2,0,2
1684,0,2,0,0
6979,1,1,2,2
11393,0,1,2,0
10695,0,3,3,2
7043,1,0,4,2
11250,1,1,4,2
13000,0,3,3,0
2302,1,3,4,1
2943,0,2,5,0
7590,0,4,0,0
2191,0,5,1,1
3185,0,2,5,2
7880,1,5,1,2
6183,1,3,4,0
9991,1,3,3,0
1785,1,3,2,0
11070,1,4,5,2
9545,0,4,0,2
8935,0,5,5,0
13133,0,1,4,1
3676,1,3,4,2
5651,0,4,0,2
5534,1,3,4,2
7116,0,0,2,0
5950,0,4,0,2
9173,0,3,2,2
561,0,0,2,2
735,1,3,2,2
10155,0,5,5,0
12517,0,0,4,0
7884,0,1,2,2
1809,0,1,0,0
4072,0,3,3,0
3314,1,3,3,2
7330,0,4,1,0
7376,1,4,5,0
10630,1,1,2,0
6240,1,1,2,0
4962,0,0,4,2
9834,0,5,5,0
8692,0,1,2,2
9754,0,0,2,0
9741,1,3,4,0
11534,0,5,1,2
7288,1,0,2,1
12957,0,3,4,0
457,1,5,5,0
1065,1,3,3,0
12799,0,3,4,0
9904,1,3,4,0
4001,1,3,3,0
9896,0,0,2,0
2205,1,3,2,1
1327,1,3,3,0
12468,1,1,2,0
4664,0,3,4,0
5595,0,4,0,2
9832,1,3,3,0
11347,0,3,4,0
8374,1,3,3,2
12986,0,3,4,0
11550,1,4,5,2
7327,1,3,2,0
3304,0,1,2,2
12979,0,3,4,0
877,0,2,0,2
3583,0,1,2,0
4954,1,2,2,2
4140,1,3,2,2
7606,0,0,2,0
4714,0,3,4,0
2694,0,1,2,2
8211,0,5,5,0
4816,0,0,2,2
11479,0,2,2,0
7384,0,2,0,0
10538,0,2,2,2
12451,1,3,3,1
1858,0,5,5,0
6042,1,3,3,2
10785,1,5,5,0
4387,0,1,2,1
867,0,5,5,2
8666,1,5,5,2
